Rank,Fragile States Index 2014,Stability Index,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Population,Land Area
129,Mongolia,Stable,6,2,4,3,6,5,5,6,5,4,5,6,4,5
131,Montenegro,Stable,4,5,7,3,3,5,4,4,4,4,6,6,3,3
92,Morocco,Warning,6,6,7,7,7,6,7,6,6,6,7,5,6,4
50,Mozambique,Warning,9,5,5,7,8,8,7,9,6,7,7,7,6,4
24,Myanmar,Alert,7,8,9,5,8,7,9,8,8,8,9,7,7,4
103,Namibia,Warning,7,6,6,7,8,7,4,7,5,5,3,7,4,4
31,Nepal,Alert,8,8,9,6,8,7,8,7,8,7,8,7,6,4
166,Netherlands,Sustainable,3,2,4,2,2,4,1,2,1,2,3,2,6,3
173,New Zealand,Sustainable,2,1,4,2,3,4,0,2,1,1,1,1,4,4
73,Nicaragua,Warning,6,5,6,8,8,6,8,7,5,5,7,8,5,4
19,Niger,Alert,9,8,7,7,8,8,8,9,7,8,9,9,6,5
17,Nigeria,Alert,8,7,10,7,9,7,9,9,9,9,9,6,7,4
26,North Korea,Alert,7,5,7,4,8,9,10,9,10,8,8,8,1,1
175,Norway,Sustainable,2,2,4,2,2,2,0,2,2,3,1,1,5,4
135,Oman,Stable,5,2,3,2,4,5,6,4,7,5,7,2,4,4
10,Pakistan,Alert,9,9,10,7,8,7,8,8,9,10,9,9,7,4
131,Panama,Stable,6,4,5,4,8,4,5,5,5,5,2,3,4,4
57,Papua New Guinea,Warning,8,5,7,7,9,7,7,9,6,6,7,6,5,4
102,Paraguay,Warning,6,3,6,5,9,5,7,6,6,6,8,4,5,4
97,Peru,Warning,6,5,7,6,7,4,7,7,5,7,7,4,6,5
52,Philippines,Warning,8,8,8,6,6,6,7,7,6,9,8,6,7,4
152,Poland,Stable,4,3,4,5,4,4,3,3,3,3,4,3,6,4
162,Portugal,Stable,3,2,2,2,3,5,2,3,3,2,2,3,6,4
139,Qatar,Stable,5,2,5,3,5,3,6,2,6,3,5,4,4,3
130,Romania,Stable,4,3,7,4,5,6,6,5,4,4,5,4,6,4
85,Russia,Warning,5,5,8,5,7,4,8,5,9,9,8,4,1,1
34,Rwanda,Alert,8,8,8,7,8,7,6,7,8,6,8,8,6,3
110,Samoa,Warning,6,2,5,9,6,6,6,5,5,5,5,8,2,2
87,Sao Tome,Warning,7,5,5,8,7,8,7,6,4,6,6,8,1,1
96,Saudi Arabia,Warning,6,5,8,3,6,4,8,4,9,7,8,5,6,5
62,Senegal,Warning,8,7,7,7,7,7,6,8,6,6,7,6,6,4
100,Serbia,Warning,4,6,8,5,6,6,6,4,5,6,8,7,5,4
122,Seychelles,Warning,5,3,5,5,6,5,6,3,5,6,6,7,1,1
35,Sierra Leone,Warning,9,8,6,8,8,8,7,9,6,5,8,7,5,4
158,Singapore,Stable,3,1,3,4,4,3,3,2,5,2,4,2,5,2
146,Slovakia,Stable,3,2,6,4,4,5,4,3,3,3,4,4,1,1
163,Slovenia,Stable,2,2,4,3,4,4,3,2,2,2,2,2,4,3
47,Solomon Islands,Warning,8,5,7,6,9,7,7,8,6,7,8,8,3,3
2,Somalia,Alert,9,10,9,9,9,9,9,10,10,9,10,9,6,4
115,South Africa,Warning,7,6,6,5,8,6,5,6,4,5,6,3,7,5
156,South Korea,Stable,3,2,3,4,3,2,3,2,3,2,4,6,1,1
1,South Sudan,Alert,9,10,10,7,9,9,10,10,10,10,10,10,6,4
150,Spain,Stable,3,2,6,3,4,5,3,3,2,4,6,2,6,4
30,Sri Lanka,Alert,6,8,9,8,7,6,8,5,9,8,9,7,6,4
